SU_ID,ER_ID,ON_ID,MIHU_ID
41000574,41000017,41000561,41000027
41000575,41000019,41000562,41000033
41000580,41000023,41000563,41000035
41000583,41002789,41000564,41000038
41000588,41002868,41000565,41000044
41000593,41002908,41000568,41000052
41000594,41002938,41000569,41000058
41000595,41002940,41000570,41000059
41000596,41002949,41000571,41000060
41000600,41002989,41025880,41000061
41000602,41003000,41025899,41000062
41000603,41003007,41025904,41000064
41000606,41003081,41025949,41000065
41000607,41003111,41025986,41000066
41000608,41003125,41025996,41000067
41000609,41003130,41026021,41000068
41000611,41003131,41026070,41000075
41000613,41003145,41026125,41000076
41000614,41003171,41026188,41000077
41000615,41003176,41026189,41000078
41000616,41003224,41026191,41000079
41000617,41003265,41026192,41000080
41000618,41003312,41026200,41000081
41000619,41003352,41026207,41000083
41000620,41003356,41026235,41000085
41000621,41003374,41026241,41000086
41000622,41003402,41026247,41000087
41000623,41003403,41026276,41000089
41000624,41003427,41026297,41000090
41000625,41003467,41026342,41000091
41000631,41003478,41026348,41000092
41000632,41003499,41026357,41000093
41000633,41003501,41026363,41000095
41000645,41003554,41026371,41000098
41000646,41003630,41026375,41000099
41000647,41003704,41026379,41000100
41000648,41003755,41026386,41000101
41000649,41003790,41026387,41000102
41000650,41003945,41026397,41000103
41000651,41003959,41026398,41000110
41000652,41004035,41026409,41000111
41000653,41004094,41026416,41000114
41000654,41004095,41026440,41000121
41000655,41004099,41026442,41000122
41000656,41004100,41026444,41000123
41000658,41004101,41026472,41000124
41000659,41004102,41026521,41000127
41000662,41004103,41026524,41000131
41000663,41004104,41026529,41000132
41000665,41004115,41026531,41000133
41000670,41004117,41026539,41000136
41000671,41004118,41026561,41000142
41000672,41004120,41026584,41000145
41000676,41004121,41026601,41000147
41000678,41004122,41026609,41000149
41000680,41004123,41026633,41000150
41000681,41004125,41026641,41000152
41000691,41004130,41026642,41000153
41000692,41004131,41026657,41000157
41000705,41004139,41026661,41000159
41000708,41004141,41026672,41000160
41000711,41004151,41026695,41000169
41000713,41004154,41026710,41000170
41000715,41004168,41026717,41000171
41000718,41004183,41026746,41000180
41000719,41004189,41026748,41000182
41000721,41004193,41026769,41000191
41000723,41004212,41026800,41000192
41000724,41004272,41026812,41000196
41000725,41004273,41026819,41000199
41000726,41004278,41026831,41000203
41000727,41004280,41026869,41000211
41000728,41004285,41026897,41000212
41000729,41004289,41026904,41000221
41000732,41004296,41026929,41000236
41000733,41004313,41026938,41000238
41000734,41004339,41026939,41000239
41000735,41004369,41026941,41000240
41000736,41004389,41026944,41000243
41000737,41004420,41026960,41000244
41038466,41004434,41026965,41000248
41038549,41004463,41026971,41000259
41038552,41004482,41027006,41000262
41038553,41004514,41027013,41000263
41038589,41004533,41027025,41000264
41038612,41004542,41027040,41000271
41038661,41004558,41027056,41000272
41038690,41004568,41027059,41000276
41038700,41004592,41027068,41000279
41038727,41004672,41027106,41000287
41038766,41004679,41027108,41000289
41038782,41004686,41027110,41000296
41038791,41004696,41027111,41000303
41038857,41004700,41027124,41000305
41038960,41004702,41027139,41000306
41039028,41004713,41027156,41000308
41039063,41004725,41027158,41000310
41039064,41004737,41027161,41000313
41039191,41004743,41027163,41000328
41039243,41004751,41027190,41000329
41039284,41004760,41027191,41000332
41039303,41004762,41027192,41000344
41039310,41004772,41027197,41000347
41039349,41004797,41027202,41000353
41039380,41004822,41027204,41000354
41039468,41004823,41027211,41000363
41039512,41004841,41027221,41000364
41039686,41004901,41027227,41000384
41039687,41005005,41027230,41000387
41039688,41005097,41027232,41000397
41039694,41005121,41027235,41000402
41039697,41005124,41027240,41000406
41039702,41005133,41027241,41000407
41039719,41005170,41027246,41000414
41039721,41005177,41027266,41000415
41039730,41005187,41027267,41000416
41039746,41005191,41027278,41000417
41039777,41005192,41027282,41000418
41039819,41005193,41027287,41000420
41039850,41005201,41027294,41000421
41039919,41005203,41027306,41000426
41039931,41005205,41027314,41000430
41039976,41005211,41027327,41000434
41039995,41005212,41027362,41000435
41040012,41005213,41027377,41000436
41040015,41005214,41027383,41000437
41040023,41005215,41027386,41000444
41040027,41005216,41027392,41000445
41040049,41005217,41027426,41000448
41040050,10850056,41027433,41000449
41040078,10850046,41027462,41000456
41040113,13175617,41027502,41000465
41040117,13167198,41027503,41000466
41040180,13167162,41027514,41000467
41040247,13168180,41027522,41000470
41040285,13167662,41027551,41000473
41040328,13168160,41027557,41000474
41040340,13167590,41027570,41000477
41040344,13167562,41027587,41000481
41040348,13167518,41027613,41000483
41040351,13168068,41027646,41000484
41040365,13167300,41027660,41000485
41040412,13168050,41027687,41000486
41040437,13167220,41027703,41000489
41040453,13167170,41027723,41000490
41040461,13167806,41027760,41000493
41040468,13168170,41027934,41000494
41040473,13168154,41027941,41000495
41040496,13167464,41027954,41000496
41040500,13167418,41027960,41000497
41040506,13167410,41027973,41000498
41040519,13167208,41027996,41000499
41040544,25769143,41028022,41000500
41040545,13167698,41028026,41000503
41040560,13175621,41028028,41000504
41040561,13167132,41028034,41000518
41040579,13167128,41028035,41000519
41040596,25769109,41028053,41000520
41040613,25769125,41028072,41000521
41040618,25769183,41028081,41000522
41040619,904100016,41028087,41000523
41040620,904100018,41028103,41000524
41040622,904100013,41028106,41000525
41040641,13229626,41028121,41000527
41040648,15634575,41028141,41000530
41040652,15623909,41028151,41000531
41040655,15623911,41028162,41000533
41040668,15624643,41028167,41000538
41040681,15624753,41028177,41000539
41040710,15624493,41028185,41000540
41040730,15624563,41028200,41000541
41040747,15625319,41028204,41000542
41040749,30726892,41028207,41000543
41040750,15623927,41028209,41000544
41040764,15625415,41028212,41000545
41040810,15610054,41028227,41000547
41040811,15612514,41028231,41000551
41040845,15611032,41028236,41000552
41040846,15609896,41028237,41000553
41040857,15611106,41028240,41000554
41040912,15609994,41028241,41002948
41040920,15610006,41028253,41013305
41041013,15609898,41028259,41013312
41041048,15611164,41028265,41013325
41041052,15609872,41028268,41013345
41041083,15609862,41028269,41013357
41041189,15609880,41028276,41013364
41041200,15609900,41028278,41013497
41041206,15609882,41028284,41013568
41041255,15609842,41028286,41013571
41041257,15609852,41028290,41013576
41041260,15609804,41028291,41013581
41041290,15609816,41028295,41013587
41041314,15618978,41028296,41013661
41041326,15609838,41028297,41013866
41041338,28033903,41028301,41013901
41041340,28033939,41028307,41013908
41041365,15609806,41028308,41013925
41041390,15609620,41028309,41013943
41041415,28033899,41028312,41013967
41041461,28033927,41028315,41013998
41041488,28033931,41028317,41014058
41041490,28033935,41028318,41014074
41041501,15604038,41028320,41014091
41041545,15604058,41028332,41014114
41041559,15604080,41028337,41014128
41041572,15604064,41028344,41014130
41041573,15604066,41028347,41014175
41041574,15604030,41028358,41014176
41041591,15604052,41028363,41014180
41041619,15604088,41028365,41014185
41041743,15604120,41028366,41014198
41041754,15604070,41028376,41014201
41041759,15604028,41028377,41014206
41041767,15604034,41028378,41014262
41041770,15604082,41028471,41014268
41041787,15604054,41028789,41014290
41041790,15604022,15561425,41014301
41041806,15594589,15561415,41014302
41041816,15594603,15559793,41014317
41041855,15596043,15560911,41014332
41041870,15594579,15559387,41014334
41041904,15594557,15558695,41014382
41041909,15594073,15558077,41014424
41041910,15596095,15558011,41014436
